0132;lopez;christian;7894651230;passwd1;0620053261;chris42.lopez@gmail.com;25;non
1230;durant;pierre;9876543210;passwd2;0612547832;pdurant@gmail.com;25;oui
1231;durant;jacques;9876543210;passwd2;0612547832;jdurant@gmail.com;25;oui
1232;durant;yves;9876543210;passwd2;0612547832;ydurant@gmail.com;25;oui
1233;durand;pierre;9876543210;passwd2;0612547832;pdurand@gmail.com;25;oui
1234;duran;pierre;9876543210;passwd2;0612547832;pduran@gmail.com;25;oui
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
1320;dupont;jules;456789123;passwd3;06453278865;jdupont@gmail.com;30;non
